entity1,relation,entity2
card player noun,hypernym,player noun
wilmington noun,instance hypernym,city noun
produce verb,verb group,create verb
talk verb,derivationally related form,mouthpiece noun
reactionary noun,hypernym,conservative noun
inaction noun,derivationally related form,dormant adjective
mumble noun,derivationally related form,mumble verb
evaluation noun,derivationally related form,measure verb
malvales noun,member meronym,tiliaceae noun
polygalaceae noun,member meronym,polygala noun
flex verb,hypernym,move verb
marasca noun,hypernym,fruit noun
blast verb,hypernym,make noise verb
hierarchy noun,hypernym,organization noun
meclizine noun,hypernym,antihistamine noun
dating noun,derivationally related form,date verb
body armor noun,has part,armet noun
refer verb,verb group,allude verb
wrack noun,derivationally related form,bust up verb
feel verb,derivationally related form,antenna noun
conjugate verb,derivationally related form,coupling noun
train verb,derivationally related form,education noun
beat verb,derivationally related form,pulse noun
portugal noun,has part,lusitania noun
better verb,derivationally related form,improvement noun
louse noun,hypernym,insect noun
ramification noun,hypernym,placement noun
convict verb,synset domain topic of,law noun
shuffle noun,derivationally related form,shuffle verb
conglobate verb,hypernym,form verb
dealer noun,derivationally related form,franchise noun
deprive verb,hypernym,withhold verb
realist noun,derivationally related form,platonism noun
candidiasis noun,has part,candida albicans noun
recission noun,hypernym,cancellation noun
step noun,derivationally related form,step verb
support noun,hypernym,aid noun
halictidae noun,member meronym,nomia noun
worldling noun,hypernym,person noun
netherlander noun,hypernym,european noun
insecta noun,member meronym,dictyoptera noun
keep open verb,verb group,keep verb
ridicule verb,derivationally related form,derision noun
traverse verb,derivationally related form,crossing noun
cruciferae noun,member meronym,matthiola noun
executive agency noun,hypernym,agency noun
scooter noun,derivationally related form,dart verb
collimate verb,hypernym,align verb
guess noun,derivationally related form,suspect verb
catch up verb,hypernym,reach verb
lengthiness noun,derivationally related form,continue verb
chain noun,hypernym,linear unit noun
shrub noun,hypernym,woody plant noun
preside verb,derivationally related form,president noun
boo noun,hypernym,cry noun
lesotho noun,instance hypernym,african country noun
mystic adjective,derivationally related form,mysticism noun
roll verb,derivationally related form,stray noun
slit noun,hypernym,crack noun
crooked adjective,also see,dishonest adjective
garrote noun,derivationally related form,garrote verb
smother verb,derivationally related form,suffocation noun
minimum noun,derivationally related form,understate verb
polemic noun,hypernym,controversy noun
egotism noun,hypernym,conceit noun
disgust verb,hypernym,repel verb
leaf blight noun,hypernym,blight noun
centralization noun,hypernym,gather noun
town noun,derivationally related form,township noun
repositing noun,hypernym,deposit noun
belgium noun,has part,bruges noun
lesbianism noun,hypernym,homosexuality noun
headline verb,derivationally related form,headliner noun
exceed verb,derivationally related form,exceedance noun
approach verb,derivationally related form,approach noun
fit noun,derivationally related form,fit verb
kidney noun,hypernym,excretory organ noun
tunnel noun,synset domain topic of,car noun
ego noun,derivationally related form,egotist noun
messina noun,instance hypernym,city noun
nerve fiber noun,hypernym,fiber noun
syngnathidae noun,member meronym,cosmocampus noun
zoolatry noun,hypernym,worship noun
nuphar noun,member meronym,spatterdock noun
cimetidine noun,hypernym,histamine blocker noun
ride verb,synset domain topic of,riding noun
maneuver verb,derivationally related form,tactic noun
bridle noun,derivationally related form,discipline verb
shagbark noun,has part,hickory nut noun
amble noun,derivationally related form,amble verb
undervaluation noun,hypernym,evaluation noun
robin noun,hypernym,thrush noun
ethnic noun,hypernym,person noun
amnion noun,hypernym,sac noun
spark arrester noun,hypernym,net noun
spirit noun,derivationally related form,spiritize verb
spy noun,derivationally related form,spy verb
racer noun,hypernym,animal noun
traditionalism noun,derivationally related form,traditionalist noun
smudge noun,derivationally related form,blot verb
onagraceae noun,member meronym,oenothera noun
autoeroticism noun,hypernym,sexual activity noun
mine verb,hypernym,reinforce verb
repeat verb,hypernym,utter verb
fluphenazine noun,hypernym,major tranquilizer noun
acipenseridae noun,member meronym,sturgeon noun
littorina noun,hypernym,mollusk genus noun
convey verb,derivationally related form,conveyance noun
hypnotism noun,hypernym,influence noun
chorus noun,hypernym,company noun
unfortunate noun,hypernym,person noun
fret verb,derivationally related form,fret noun
transport verb,derivationally related form,cargo noun
campaign verb,hypernym,race verb
gape noun,hypernym,facial expression noun
respect verb,derivationally related form,value noun
landing noun,derivationally related form,land verb
purpose noun,derivationally related form,plan verb
number noun,derivationally related form,count verb
montana noun,has part,little bighorn noun
immunization noun,hypernym,protection noun
iraq noun,member of domain region,assyrian neo-aramaic noun
scale noun,hypernym,measuring instrument noun
active adjective,derivationally related form,natural process noun
front verb,hypernym,confront verb
euterpe noun,hypernym,monocot genus noun
invocation noun,derivationally related form,appeal verb
clot noun,derivationally related form,clog verb
stabilizer noun,hypernym,device noun
andrew noun,synset domain topic of,new testament noun
midwest noun,has part,missouri noun
sciaenidae noun,member meronym,sciaenops noun
lawgiver noun,hypernym,leader noun
observation noun,derivationally related form,detect verb
fumble noun,synset domain topic of,american football noun
relationship noun,derivationally related form,relation noun
dandify verb,derivationally related form,dandy noun
physiological property noun,hypernym,bodily property noun
push noun,hypernym,propulsion noun
predict verb,derivationally related form,foreboding noun
undo verb,hypernym,ruin verb
clique noun,hypernym,set noun
refresh verb,derivationally related form,refreshment noun
concede verb,derivationally related form,concession noun
metallurgy noun,hypernym,science noun
urodella noun,hypernym,animal order noun
match noun,hypernym,contest noun
smudge noun,derivationally related form,smirch verb
president noun,derivationally related form,presidency noun
blond noun,hypernym,person noun
sweeten verb,hypernym,change taste verb
give verb,derivationally related form,giving noun
october noun,has part,columbus day noun
ballet noun,has part,act noun
succeed verb,derivationally related form,achiever noun
bermuda noun,instance hypernym,island noun
crackle noun,hypernym,noise noun
ethics noun,hypernym,philosophy noun
electron multiplier noun,hypernym,tube noun
utility noun,derivationally related form,use verb
rail verb,hypernym,supply verb
cut verb,derivationally related form,tailor noun
climb verb,also see,hop on verb
transferer noun,hypernym,mover noun
finish verb,derivationally related form,stopping point noun
adjust verb,hypernym,decide verb
boat verb,hypernym,ride verb
cycle verb,derivationally related form,cycle noun
change integrity verb,hypernym,change verb
dally verb,derivationally related form,dallier noun
linkage noun,hypernym,connection noun
erecting noun,hypernym,construction noun
choke verb,derivationally related form,choking noun
travel verb,derivationally related form,traveler noun
coherence noun,derivationally related form,cling verb
work out verb,hypernym,total verb
rotary actuator noun,synset domain topic of,computer science noun
thick adjective,also see,fat adjective
salty adjective,also see,tasty adjective
cetacean adjective,derivationally related form,cetacean noun
focus verb,hypernym,adjust verb
access noun,synset domain topic of,computer science noun
even verb,hypernym,regularize verb
squelch verb,derivationally related form,squelch circuit noun
conepatus noun,hypernym,mammal genus noun
dacrydium noun,member meronym,rimu noun
perpetrator noun,hypernym,wrongdoer noun
mail noun,derivationally related form,mail verb
youth gang noun,hypernym,gang noun
ceratopsia noun,member meronym,ceratopsian noun
size verb,derivationally related form,size noun
planet noun,synset domain topic of,astronomy noun
liberalize verb,derivationally related form,liberalization noun
bath linen noun,hypernym,linen noun
flat noun,hypernym,plain noun
frontal suture noun,hypernym,suture noun
wish verb,derivationally related form,wish noun
juglandaceae noun,member meronym,pterocarya noun
cut noun,hypernym,division noun
tenant noun,hypernym,resident noun
farce verb,hypernym,fill verb
umbrella noun,hypernym,canopy noun
sail verb,hypernym,boat verb
united kingdom noun,member of domain region,van noun
glassware noun,hypernym,tableware noun
ferment verb,hypernym,seethe verb
scoff verb,derivationally related form,scoffer noun
angle noun,hypernym,space noun
human adjective,derivationally related form,homo noun
launch verb,derivationally related form,launching noun
northwest territories noun,instance hypernym,district noun
ignition noun,derivationally related form,ignite verb
enhance verb,hypernym,intensify verb
incision noun,derivationally related form,incise verb
infancy noun,derivationally related form,baby noun
traditionalist noun,hypernym,conservative noun
seat noun,derivationally related form,seat verb
whippoorwill noun,hypernym,goatsucker noun
americanization noun,hypernym,assimilation noun
seclusion noun,derivationally related form,seclude verb
